4321;138.9;;;;138.9;4.24;605
4325;130;;;;130;13.41;605
5567;123.3;;;;123.3;21.19;605
6151;121.8;;;;121.8;23.05;605
7147;121.7;;;;121.7;23.18;605
5494;121.2;;;;121.2;23.81;605
6758;120.1;;;;120.1;25.22;605
6734;119.8;;;;119.8;25.6;605
5564;118.9;;;;118.9;26.78;605
5298;118.5;;;;118.5;27.31;605
7336;118;;;;118;27.97;605
6987;117.7;;;;117.7;28.38;605
6165;117.6;;;;117.6;28.51;605
5451;117.4;;;;117.4;28.78;605
5589;116.2;;;;116.2;30.42;605
5142;116.1;;;;116.1;30.56;605
4322;116;;;;116;30.69;605
5026;115.9;;;;115.9;30.83;605
6633;115;;;;115;32.09;605
6100;114.9;;;;114.9;32.23;605
6880;114.3;;;;114.3;33.08;605
6530;112.9;;;;112.9;35.1;605
6235;112.7;;;;112.7;35.39;605
5288;111.7;;;;111.7;36.87;605
5262;110;;;;110;39.45;605
3090;109.3;;;;109.3;40.53;605
6392;109;;;;109;41;605
6845;108.8;;;;108.8;41.31;605
5435;107.9;;;;107.9;42.74;605
5497;107.3;;;;107.3;43.7;605
4141;106.8;;;;106.8;44.52;605
5237;106.8;;;;106.8;44.52;605
2171;105.7;;;;105.7;46.33;605
5972;105.3;;;;105.3;47;605
7679;105.3;;;;105.3;47;605
5924;105.1;;;;105.1;47.33;605
5796;103.9;;;;103.9;49.38;605
5040;103.5;;;;103.5;50.07;605
4801;103.5;;;;103.5;50.07;605
5063;101;;;;101;54.52;605
6437;100.2;;;;100.2;55.99;605
6698;100;;;;100;56.37;605
5945;99.8;;;;99.8;56.74;605
6009;99.6;;;;99.6;57.11;605
6996;99.1;;;;99.1;58.06;605
6696;95.7;;;;95.7;64.73;605
5778;92;;;;92;72.55;605
6951;90.8;;;;90.8;75.22;605
7091;90.4;;;;90.4;76.13;605
5626;89.8;;;;89.8;77.51;605
7196;88.5;;;;88.5;80.55;605
2928;85.7;;;;85.7;87.42;605
6258;85.6;;;;85.6;87.68;605
7354;85.5;;;;85.5;87.93;605
7343;84.9;;;;84.9;89.47;605
5518;84.5;;;;84.5;90.51;605
6997;80.2;;;;80.2;102.32;605
4186;78.8;;;;78.8;106.44;605
6910;62.4;;;;62.4;168.52;605
5788;55.3;;;;55.3;206.82;605
6414;41.4;;;;41.4;319.82;605
