2537;Dmitrij;Czwikow;1974-10-14;KGZ 
6176;Muhammet Irfan;Cintimar;1997-07-16;TUR 
6438;Luc;Claret Tournier;1996-08-09;FRA 
4186;Sebastian;Colloredo;1987-09-09;ITA 
7613;Samuele Janne;Comazzi;2004-01-25;ITA 
6959;Mathis;Contamine;2001-09-14;FRA 
6986;Bartosz;Czyż;1999-08-14;POL 
7488;Oliver;Dahl;1997-03-11;NOR 
4025;Jernej;Damjan;1983-05-28;SLO 
1927;Sebastien;Dandurand;1993-04-18;CAN 
6419;Andreas;Danielsson;1998-01-17;SWE 
7351;Emeric;Daumarie;2000-06-01;FRA 
6361;Jesper;Daun;1992-11-11;SWE 
6680;Jurij;Degtjariew;1993-06-10;RUS 
4720;Roberto;Dellasega;1990-06-15;ITA 
6179;Ayberk;Demir;1997-02-14;TUR 
4552;Piotr;Denisowski;1984-04-10;RUS 
5435;Gregor;Deschwanden;1991-02-27;SUI 
2987;Vincent;Descombes Sevoie;1984-01-09;FRA 
7140;Sebastian;Devall;2000-03-14;SWE 
6941;Nikita;Dewjatkin;1999-04-03;KAZ 
5676;Nejc;Dezman;1992-12-07;SLO 
5933;Zeno;di Lenardo;1995-10-19;ITA 
6244;Martin;Diess;1997-03-02;AUT 
5438;Thomas;Diethart;1992-02-25;AUT 
7391;Josef;Dirnbauer;1998-06-27;AUT 
7644;Erik;Dölderer;2004-02-02;AUT 
6725;Jakub;Dohnal;1997-04-13;CZE 
7172;Dusan;Dolezel;1998-06-05;CZE 
6042;Renat;Doskaliew;1991-08-12;RUS 
6726;Stanislav;Dostal;1999-04-20;CZE 
6199;Michael;Dreher;1993-01-30;GER 
6826;Yunpengfei;Du;1995-12-12;CHN 
7159;Maksim;Duka;2002-06-25;RUS 
7031;Dominik;Durco;1997-07-12;SVK 
7331;Mateusz;Dyrcz;1998-03-25;POL 
6740;Moritz;Echsler;1997-10-10;GER 
6885;David;Eder;1997-02-14;AUT 
6731;Trevor;Edlund;1997-03-02;USA 
